Date,r_us,y_us,pi_us,ltr_us,r_ea,y_ea,pi_ea,ltr_ea,z_ea_us,r_jp,y_jp,pi_jp,ltr_jp,z_jp_us
3/31/1970,8.573333333,-0.601411617,6.555244954,7.366666667,6.280803279,-7.104476252,5.854252196,6.914915007,-1.72246249,6.25,12.83120478,5.793837242,7.144,1.207809079
6/30/1970,7.886666667,0.574732895,5.717971721,7.713333333,6.452068618,10.08952986,4.040255765,7.260003911,-4.022021395,6.25,4.939528808,2.738788961,7.149,-2.818047595
9/30/1970,6.706666667,3.728208841,4.206266537,7.46,6.306974229,6.980732396,5.944852746,7.257984301,1.059507743,6.25,11.16214656,3.816455903,7.128,-0.374076
12/31/1970,5.566666667,-4.231888146,5.934685671,6.853333333,5.891655782,3.035051395,5.748888506,7.219270158,-0.678106631,6.073333333,-1.281825432,10.82626686,7.039,4.617544442
3/31/1971,3.856666667,11.31980988,3.409755105,6.016666667,5.878821663,-2.3340949,6.715509546,6.685860093,2.909356627,5.8,3.693982926,6.931700543,6.426,3.405815471
6/30/1971,4.566666667,2.19283598,3.723683482,6.246666667,5.30488044,5.51126019,5.999743431,6.784972044,-0.456127362,5.603333333,6.610320554,3.94539028,6.127,0.213747518
9/30/1971,5.476666667,3.314555474,4.029725454,6.483333333,5.30488044,6.323783698,5.356642685,6.849303551,-5.895803224,5.323333333,4.963572297,7.894362427,5.763,-6.302548379
12/31/1971,4.75,0.960307399,2.981162485,5.89,4.889226684,1.513304862,6.24007079,6.671320217,-4.65993718,5.226666667,3.694302641,4.37515563,5.631,-19.10591435
3/31/1972,3.546666667,7.552343155,3.291906844,6.033333333,4.301774787,2.722168178,5.457303133,6.414085901,-13.95514897,4.75,13.68288351,2.485183785,5.298,-27.65206075
6/30/1972,4.3,9.373785002,2.605726735,6.143333333,4.156928426,3.685678471,4.334156433,6.195632738,-2.239754999,4.713333333,7.743168422,5.466847712,4.919,-0.728685096
9/30/1972,4.743333333,3.83136423,3.243857579,6.29,4.156928426,7.332214293,8.534776157,4.264482654,3.836244814,4.25,8.815396854,7.13250574,4.937,0.007967679
12/31/1972,5.146666667,6.884838711,4.198061105,6.373333333,4.800123934,5.05525886,8.447418172,4.445631244,6.646161004,4.25,10.44884554,4.507180476,5.01,0.349971352
3/31/1973,6.536666667,10.24947802,6.444387388,6.603333333,5.012843208,5.721541118,8.238066831,4.731331288,-14.65789952,4.25,14.06500485,12.29328997,5.782,-18.75597639
6/30/1973,7.816666667,4.429311811,8.631724016,6.806666667,5.863720305,6.438468452,11.93140102,7.007268123,-15.65816362,5.18,3.708387687,17.72665422,5.995,-15.63953443
9/30/1973,10.56,-2.073677252,8.127318746,7.206666667,6.596986782,6.132920337,8.767430915,7.345513521,-23.32155025,6.376666667,1.171839429,16.68845883,6.569,7.950232274
12/31/1973,9.996666667,3.835731149,10.50954617,6.753333333,6.596986782,4.651701057,11.35187563,7.421481434,20.38737104,7.19,5.035322871,17.06959564,7.38,22.33702931
3/31/1974,9.323333333,-3.39017382,12.44307441,7.053333333,7.8435256,4.212326341,14.36340752,7.95823785,43.19112734,9,-13.05165541,43.66370429,7.377,60.46949088
6/30/1974,11.25,0.974478402,11.14978456,7.543333333,7.8435256,1.769666568,16.09285097,8.882416988,-9.568052034,9,2.912493889,14.9856728,7.396,-11.20801952
9/30/1974,12.09,-3.742121831,11.7400976,7.963333333,7.984967423,1.495898747,15.21395282,9.605545663,9.940085187,9,5.21773331,20.33720453,7.893,37.55917762
12/31/1974,9.346666667,-1.550205502,12.86048975,7.67,7.40113727,-6.467848695,15.45066108,9.6889837,-4.322320781,9,-2.1518108,16.84395028,8.129,6.943281615
3/31/1975,6.303333333,-4.767706665,8.827233554,7.54,7.178409209,-3.819630969,12.76811909,9.042960073,-17.19953906,9,0.52443827,8.764282422,8.152333333,-8.724361917
6/30/1975,5.42,2.877514319,4.907074146,8.05,6.630878003,-0.936845064,10.0875586,8.746966031,0.225206715,8.456666667,9.180712918,7.430173456,8.175,1.163062536
9/30/1975,6.16,7.031965231,8.264494922,8.296666667,5.991653397,3.475241878,8.840707133,8.295200219,32.85317483,7.73,4.630865976,8.54347795,8.221666667,8.103945913
12/31/1975,5.413333333,5.484245423,7.577265962,8.063333333,5.916631524,7.319807146,8.869214681,8.371927052,8.858315219,6.746666667,4.272846064,9.887290815,8.287,10.03161356
3/31/1976,4.826666667,9.311858248,4.663232951,7.753333333,7.434866357,4.670251214,10.95198036,6.085430559,25.10007464,6.5,3.432619731,10.29085948,8.365666667,3.788989551
6/30/1976,5.196666667,2.967499476,3.626107333,7.773333333,7.434866357,6.379916197,17.29688025,6.390126783,39.53269979,6.5,2.384227318,9.053800929,8.393333333,0.866761006
9/30/1976,5.283333333,2.203215968,6.537394635,7.73,8.335475396,4.399115928,8.660805635,6.481672715,2.274710667,6.5,5.743772658,9.257268453,8.398,-8.155878693
12/31/1976,4.873333333,2.929469241,5.945475779,7.19,8.335475396,6.106096449,15.78614252,6.746582352,6.375435915,6.5,0.4765053,9.105399659,8.373333333,6.576313865
3/31/1977,4.66,4.821920074,7.543935062,7.353333333,8.335475396,2.835399745,15.22536293,9.13548241,9.241888136,6.4,9.040282106,10.12186004,8.388666667,-8.308040944
6/30/1977,5.156666667,7.999433411,7.166923775,7.37,7.733706251,0.732748181,11.81473748,9.163766884,2.297800264,5.19,2.845008764,7.481748625,7.697,-13.45349146
9/30/1977,5.82,7.410746092,5.649943001,7.356666667,7.282379392,-0.270271946,15.7389995,9.017497268,16.23848989,4.773333333,2.754755026,4.866833511,7.023,-13.1964766
12/31/1977,6.513333333,0.02362042,6.026806743,7.596666667,7.178415124,4.922275432,10.5563095,8.883851625,-2.996106735,4.25,5.537227645,3.498870034,6.747,-27.5372166
3/31/1978,6.756666667,1.281426475,7.065255145,8.01,7.074681837,4.258192898,7.402874776,8.724772119,-13.23705872,4.12,7.773590949,3.092507034,6.512666667,-17.57727453
6/30/1978,7.283333333,16.36109065,9.410691683,8.32,7.074681837,4.013553074,10.9483501,8.54387724,-1.681758678,3.5,3.945059107,4.784541693,6.259333333,-28.61482866
9/30/1978,8.1,4.096136559,9.637038983,8.49,6.772901416,3.557322778,11.46132537,8.391814595,-12.90768849,3.5,5.274352764,5.889818311,6.409666667,-43.81677796
12/31/1978,9.583333333,5.49544527,9.626849504,8.82,6.772901416,5.175237374,9.266896819,8.403723663,-14.59857842,3.5,5.898398512,1.106600881,6.361666667,-12.19241294
3/31/1979,10.07333333,0.710437348,10.46108036,9.106666667,6.785335594,3.376943998,10.46208879,8.367842851,-2.033708357,3.5,6.117871769,0.482202501,6.694666667,13.81702996
6/30/1979,10.18,0.420620943,13.33615355,9.113333333,7.187374044,6.87629463,11.98483589,8.819740161,3.479158843,4.12,7.511382758,6.065014993,7.822666667,27.41395154
9/30/1979,10.94666667,3.014275468,13.52123426,9.103333333,7.601846673,3.565020408,14.11051843,9.471670713,-12.06596106,5.006666667,3.085732084,6.729468391,7.936,-3.81569604
12/31/1979,13.57666667,0.989900893,13.27815601,10.44666667,9.390434061,4.300860372,14.78578237,9.870733138,-4.115450315,5.9,1.749964068,6.613869792,8.415,33.00059667
3/31/1980,15.04666667,1.274079172,16.74144774,11.98666667,9.802437463,2.442734896,17.89950863,10.9641243,3.340003274,6.976666667,4.55658694,9.533932788,8.750666667,1.806839988
6/30/1980,12.68666667,-7.986970876,14.19498429,10.47666667,10.28818349,-1.023374425,13.12578716,11.24637149,-10.25371971,9,-1.805193619,9.716244313,8.887,-19.93737985
9/30/1980,9.836666667,-0.488643653,7.721135919,10.95333333,10.7505619,-0.550263992,14.5308222,11.28095975,11.86820498,8.653333333,8.703812146,6.610660276,8.387,-20.79776248
12/31/1980,15.85333333,7.6750188,11.69386139,12.42333333,10.7505619,0.841427512,14.32174672,11.89866165,-22.09562423,7.633333333,8.142707906,4.665728164,8.552,-21.35974053
3/31/1981,16.57,8.085939633,11.53102414,12.96,11.51298711,1.540057456,13.94646705,12.39410927,-29.41142811,7.1,3.468939916,5.356578957,8.276333333,-14.31860099
6/30/1981,17.78,-2.948382111,8.604106963,13.75,11.51298711,0.480160062,14.58504941,13.79336428,-29.64007697,6.25,3.758569414,3.32717534,8.016333333,24.80158132
9/30/1981,17.57666667,4.884674259,11.61406603,14.84666667,11.51298711,1.325118446,13.73770651,14.60778247,-22.59898348,6.25,1.887510581,3.601658891,8.354,14.57375295
12/31/1981,13.58666667,-4.285761025,6.663194283,14.08666667,11.79554184,1.255365851,14.44128888,14.49146038,25.57794278,6.086666667,1.958681701,3.861711061,8.271666667,-14.17847281
3/31/1982,14.22666667,-6.07446288,3.602595532,14.29333333,11.79554184,1.497198476,13.57149121,14.13223787,-10.76303989,5.5,5.664651152,1.610559553,7.787666667,14.38859206
6/30/1982,14.51333333,1.83273823,5.905153744,13.93,11.81449758,-0.328912015,12.24966267,13.94367392,-9.044126805,5.5,2.623471721,1.608932017,7.803,14.91419384
9/30/1982,11.00666667,-1.519481797,7.129931499,13.11666667,11.38656508,-1.183388368,12.5527982,13.64963774,-18.66682715,5.5,1.637451197,4.197913918,8.142666667,22.679933
12/31/1982,9.286666667,0.175438554,1.234765008,10.66666667,10.73257267,0.804740048,11.45985497,13.15378475,-0.852097875,5.5,5.774352812,2.332647221,8.057,2.371409237
3/31/1983,8.653333333,5.361955102,0.272572244,10.56333333,10.49115311,2.226610682,10.51954958,12.49714806,16.94998511,5.5,2.890453908,0.293104213,7.744333333,-32.07632706
6/30/1983,8.803333333,9.418165525,4.706715135,10.54333333,10.04172015,1.777693123,10.84093202,12.31669379,-14.55110996,5.5,3.095476289,2.423772494,7.699333333,0.836075037
9/30/1983,9.46,8.233793817,3.957893799,11.62666667,9.864560733,1.859131743,9.160180662,12.32187546,-20.10539858,5.5,5.498285237,0.912592947,7.757666667,5.505568743
12/31/1983,9.43,8.618058188,4.056283974,11.68666667,9.799419342,5.398293349,11.06688879,12.3053214,-2.721162903,5.12,2.862533588,2.951177458,7.464666667,-13.91128587
3/31/1984,9.686666667,8.048578926,5.792695642,11.94333333,9.550470306,2.60233743,8.549878284,11.69704402,-2.834891515,5,3.8032755,3.420511372,7.288666667,-7.534421032
6/30/1984,10.55666667,7.091065084,3.824797691,13.2,9.443303339,-1.631151067,7.93367962,11.54581388,2.074726812,5,8.60118312,0.966982851,7.306666667,-5.088637899
9/30/1984,11.39,3.912444145,3.523893068,12.86666667,9.682933921,6.441707768,7.721471478,11.1636876,-22.38202283,5,2.98223171,1.592299442,7.250666667,24.04204167
12/31/1984,9.266666667,3.33697394,3.493122452,11.74333333,9.51902623,1.229943286,6.85046131,10.28931438,-13.84441004,5,1.483262719,3.252146005,6.796666667,4.035741631
3/31/1985,8.476666667,3.921584674,3.722923052,11.58333333,9.17303421,0.639482379,8.746335232,9.698515938,-18.58365157,5,5.499245887,2.233339429,6.826,18.62643045
6/30/1985,7.923333333,3.570303711,3.688595708,10.81333333,9.123957746,3.639465291,8.093158433,9.646517993,24.20840932,5,7.656143086,1.596141653,6.689666667,-12.1687223
9/30/1985,7.9,6.258708908,2.510075646,10.33666667,8.798212127,3.920786613,4.77723474,9.631035938,33.32663655,5,6.089690912,2.204514013,6.287333333,-18.19046535
12/31/1985,8.103333333,3.008581686,4.140632977,9.76,8.592498474,2.656056955,5.936724746,9.196577666,43.0882112,5,6.482525313,0.596631002,6.261,-45.21634048
3/31/1986,7.826666667,3.78094078,2.095783348,8.556666667,8.123965765,0.301606579,6.102704949,8.619467504,48.52424615,4.526666667,0.178022906,2.002531005,5.573,-32.31556062
6/30/1986,6.92,1.804244314,-1.932893799,7.603333333,7.282976362,4.72082795,4.131478768,7.263029354,21.22557089,3.606666667,1.218117309,-1.299377204,4.933333333,-32.32442244
9/30/1986,6.206666667,3.897119591,2.468257901,7.306666667,7.115689934,2.337006821,4.470401565,7.026678539,31.43555555,3.5,2.845190361,-0.483419181,5.257333333,-31.7471324
12/31/1986,6.266666667,2.163213961,2.824945302,7.263333333,7.09540074,2.344980378,3.25597875,7.062841528,13.14987624,3.166666667,4.735529731,-1.048992712,5.568333333,7.897434908
3/31/1987,6.22,2.992515941,4.916118932,7.193333333,6.763857821,-2.040228732,7.00405298,7.134661249,36.08683388,2.793333333,1.375378995,-0.388906429,5.029666667,-20.84821847
6/30/1987,6.65,4.378853927,4.6095036,8.343333333,6.800393701,7.271486182,4.11308763,7.491631452,5.953223304,2.5,7.128173263,2.553474875,4.018666667,-26.20749519
9/30/1987,6.843333333,3.515561505,4.313346582,8.876666667,6.974455186,3.084046076,4.544785751,8.339034587,-6.093785997,2.5,7.496562215,0.579140339,5.485666667,8.452876418
12/31/1987,6.916666667,7.041794023,3.786565889,9.123333333,6.839699677,6.062476412,3.882837289,8.510103215,33.37001059,2.5,10.64640088,0.301059623,5.490333333,-29.47954853
3/31/1988,6.663333333,2.093671604,3.158114198,8.416666667,6.811862768,1.732914432,4.178523765,7.764427181,6.629319423,2.5,6.327023502,-0.272534983,4.590666667,-23.68015713
6/30/1988,7.156666667,5.365379243,4.668029748,8.91,6.778928761,4.86412285,4.166642546,7.623593133,-7.351951457,2.5,2.951475243,0.067787308,4.997333333,-11.32864794
9/30/1988,7.983333333,2.363994336,4.966574789,9.1,7.260598791,5.264584225,5.408902497,7.756935811,-29.8996241,2.5,7.582166867,2.363170416,5.470333333,25.21276413
12/31/1988,8.47,5.437230903,4.44187593,8.956666667,7.261916151,3.732968869,4.858527687,7.729667367,22.90992336,2.5,4.452293809,2.07614655,4.784,-24.68565212
3/31/1989,9.443333333,4.114261123,4.622219619,9.206666667,7.740091393,4.713927924,6.060181399,8.180572788,-11.49373095,2.5,9.822412318,-0.196841509,4.998666667,5.432593962
6/30/1989,9.726666667,3.097272261,6.624222049,8.773333333,7.95890715,2.686925669,6.086994466,8.403342514,-15.00483729,2.76,-4.670437249,6.777808866,5.115,33.68505322
9/30/1989,9.083333333,2.990386914,3.164399566,8.106666667,8.144737607,4.287950919,5.028225052,8.356192286,4.60159447,3.25,6.362564432,2.620986593,5.053666667,12.20321602
12/31/1989,8.613333333,0.792732074,4.128773819,7.906666667,8.560016385,4.030562912,5.364448008,8.938240781,23.65444892,3.736666667,11.36119047,1.265326253,5.444666667,-0.701812308
3/31/1990,8.25,4.45122645,7.065435076,8.423333333,8.59858049,4.173774628,3.216637837,9.639694579,25.82652858,4.386666667,-2.139350968,3.616762834,6.391666667,10.62770601
6/30/1990,8.243333333,1.456995924,4.016416991,8.676666667,8.385673247,2.512305383,4.392311361,9.520835907,6.712791416,5.25,10.15402129,2.706992556,6.554,19.89171158
9/30/1990,8.16,0.270007192,7.090070695,8.703333333,8.401630808,3.763278233,6.041247662,9.658908415,22.2633072,5.523333333,8.367370988,2.778869045,7.362666667,-26.51203095
12/31/1990,7.743333333,-3.597314551,6.966630435,8.396666667,8.403847136,3.923895947,6.25935693,9.76273274,21.39045497,6,-0.254717987,5.310340736,7.142666667,-35.24829063
3/31/1991,6.426666667,-1.859121041,3.023980702,8.016666667,8.533322474,4.783361914,1.440744448,9.35,-9.009814608,6,4.37599401,4.069970004,6.494666667,10.82812396
6/30/1991,5.863333333,3.155640991,2.395701179,8.13,8.112660883,-0.21967219,5.029804912,9.793333333,-36.27038955,6,3.52205302,1.454974817,6.645333333,12.95076718
